"","N_groups","model","N_fac","bias","SD","N","SE"
"1639",675,"Fixed Effect","5000",0.186444444444444,1.22628780381189,9,0.408762601270629
"1640",675,"MAIHDA","5000",0.509333333333333,1.1841988853229,9,0.3947329617743
"1641",676,"Fixed Effect","5000",0.154,0.715695066750798,8,0.253036417480624
"1642",676,"MAIHDA","5000",0.227625,0.518993514272715,8,0.183491916667037
"1643",677,"Fixed Effect","5000",0.416083333333333,1.20365258188515,12,0.34746457108109
"1644",677,"MAIHDA","5000",0.594833333333333,1.13515155843,12,0.327690028915292
"1645",678,"Fixed Effect","5000",0.474076923076923,1.29797633912297,13,0.359993865003609
"1646",678,"MAIHDA","5000",0.750076923076923,1.25362005551512,13,0.347691645393061
"1647",679,"Fixed Effect","5000",-0.378857142857143,1.49346174307278,14,0.399144440202325
"1648",679,"MAIHDA","5000",-0.259214285714286,1.54103437682274,14,0.411858761379385
"1649",680,"Fixed Effect","5000",-0.287777777777778,1.14880620404159,9,0.382935401347196
"1650",680,"MAIHDA","5000",-0.0134444444444444,1.39554461690688,9,0.465181538968961
"1651",681,"Fixed Effect","5000",0.6905,1.71278436637958,8,0.605560720088651
"1652",681,"MAIHDA","5000",0.695875,1.73150582173849,8,0.612179754107636
"1653",682,"Fixed Effect","5000",0.145666666666667,1.03194222221983,9,0.343980740739943
"1654",682,"MAIHDA","5000",0.448,0.979429170486565,9,0.326476390162188
"1655",683,"Fixed Effect","5000",0.194615384615385,1.27064901647816,13,0.352414629386916
"1656",683,"MAIHDA","5000",0.326538461538462,1.36396674051487,13,0.378296309304143
"1657",684,"Fixed Effect","5000",-0.656083333333333,0.879239181269117,12,0.253814488993896
"1658",684,"MAIHDA","5000",-0.558166666666667,0.86996340919221,12,0.251136804241124
"1659",685,"Fixed Effect","5000",-0.0140555555555555,1.19518433095792,18,0.281707648396083
"1660",685,"MAIHDA","5000",0.0600555555555556,1.16524092294115,18,0.274649919442585
"1661",686,"Fixed Effect","5000",0.00600000000000005,1.3930396979268,16,0.348259924481701
"1662",686,"MAIHDA","5000",0.2820625,1.47879737033172,16,0.369699342582929
"1663",687,"Fixed Effect","5000",0.23815,1.33103000381382,20,0.297627356861952
"1664",687,"MAIHDA","5000",0.4749,1.30386114452825,20,0.291552215238585
"1665",688,"Fixed Effect","5000",-0.340277777777778,1.50471860983084,18,0.354665577596326
"1666",688,"MAIHDA","5000",-0.188666666666667,1.49055781110137,18,0.351327845326784
"1667",689,"Fixed Effect","5000",0.2115625,1.58216395984529,16,0.395540989961323
"1668",689,"MAIHDA","5000",0.2600625,1.46288128790411,16,0.365720321976029
"1669",690,"Fixed Effect","5000",0.130833333333333,1.07719124141827,18,0.253896410480538
"1670",690,"MAIHDA","5000",0.221666666666667,0.98823544467786,18,0.232929328113539
"1671",691,"Fixed Effect","5000",0.219705882352941,1.46433226099415,17,0.355152740181083
"1672",691,"MAIHDA","5000",0.472058823529412,1.42582662298876,17,0.345813751200023
"1673",692,"Fixed Effect","5000",-0.3539375,1.09133896162772,16,0.27283474040693
"1674",692,"MAIHDA","5000",-0.040875,1.03647202084764,16,0.259118005211911
"1675",693,"Fixed Effect","5000",-0.02952,1.12882579553564,25,0.225765159107128
"1676",693,"MAIHDA","5000",0.29868,1.16309492733826,25,0.232618985467653
"1677",694,"Fixed Effect","5000",-0.319892857142857,1.31496481685888,28,0.248504992014872
"1678",694,"MAIHDA","5000",-0.0773928571428572,1.25490703032611,28,0.237155137196392
"1679",695,"Fixed Effect","5000",0.324,1.30099284431252,22,0.277372606380952
"1680",695,"MAIHDA","5000",0.5525,1.33163196510004,22,0.283904888881358
"1681",696,"Fixed Effect","5000",0.22552,1.14871519243602,25,0.229743038487205
"1682",696,"MAIHDA","5000",0.32652,1.1311631594661,25,0.22623263189322
"1683",697,"Fixed Effect","5000",-0.376,0.88714215320883,26,0.173982890405483
"1684",697,"MAIHDA","5000",-0.1255,0.886681735460926,26,0.173892595056215
