"","Group","mod","dif","SE"
"222","FG White Hispanic men","dif_OLS_int_small",3.99139800876024,0.0366122887309374
"223","FG White Hispanic men","dif_MLM",3.995,0.0374358974358976
"224","FG White Hispanic men","dif_MLM_int",3.872,7.70102564102564
"225","FG White Hispanic men","dif_MLM_real",3.937,0.135043602042274
"226","FG White Hispanic men","dif_MLM_int_real",2.248,0.0836218949114585
"227","FG White Hispanic men","dif_MLM_small",3.988,0.0838461538461534
"228","FG White Hispanic men","dif_MLM_int_small",3.067,14.2579487179487
"229","FG White Hispanic women","dif_OLS",-3.99453007078295,0.0142073259457416
"230","FG White Hispanic women","dif_OLS_int",-3.00816108633447,0.0110250110767176
"231","FG White Hispanic women","dif_OLS_real",-4.01378467952338,0.0110256410256408
"232","FG White Hispanic women","dif_OLS_int_real",-2.92467688656935,0.0107692307692312
"233","FG White Hispanic women","dif_OLS_small",-3.79144558575111,0.062244688003904
"234","FG White Hispanic women","dif_OLS_int_small",-3.05746643527274,0.0498267602317281
"235","FG White Hispanic women","dif_MLM",-3.008,0.0494871794871808
"236","FG White Hispanic women","dif_MLM_int",-3.008,0.0517948717948732
"237","FG White Hispanic women","dif_MLM_real",-2.926,0.150748041293024
"238","FG White Hispanic women","dif_MLM_int_real",-2.925,0.105157495280047
"239","FG White Hispanic women","dif_MLM_small",-3.058,0.104102564102564
"240","FG White Hispanic women","dif_MLM_int_small",-3.056,0.106666666666668
