"","N_fac","group","model","N","True_score","Diff_from_true","SE"
"113","1000","FG White Hispanic women","Freq.",12.74,35,4.914426,6.25483
"114","1000","FG White Hispanic women","MAIHDA",12.74,35,4.146482,4.09368
"115","1000","FG White men","Bay.",145.958,48,2.338593,2.85136
"116","1000","FG White men","Freq.",145.958,48,2.341245,2.768416
"117","1000","FG White men","MAIHDA",145.958,48,2.211405,2.754402
"118","1000","FG White women","Bay.",81.817,38,2.566777,3.204203
"119","1000","FG White women","Freq.",81.817,38,2.565976,3.146904
"120","1000","FG White women","MAIHDA",81.817,38,2.292241,2.977663
"121","5000","CG Asian men","Bay.",285.918,47,1.228006,1.530874
"122","5000","CG Asian men","Freq.",285.918,47,1.225914,1.555245
"123","5000","CG Asian men","MAIHDA",285.918,47,1.168523,1.455582
"124","5000","CG Asian women","Bay.",160.77,37,1.495683,1.847463
"125","5000","CG Asian women","Freq.",160.77,37,1.495104,1.880852
"126","5000","CG Asian women","MAIHDA",160.77,37,1.314911,1.677758
"127","5000","CG Black men","Bay.",117.447,41,1.70607,2.079626
"128","5000","CG Black men","Freq.",117.447,41,1.706662,2.116951
"129","5000","CG Black men","MAIHDA",117.447,41,1.569048,1.863864
"130","5000","CG Black women","Bay.",65.703,29,2.219218,2.644855
"131","5000","CG Black women","Freq.",65.703,29,2.220033,2.695865
"132","5000","CG Black women","MAIHDA",65.703,29,1.638218,2.160396
"133","5000","CG Hispanic men","Bay.",151.263,37,1.483025,1.889727
"134","5000","CG Hispanic men","Freq.",151.263,37,1.480919,1.922778
"135","5000","CG Hispanic men","MAIHDA",151.263,37,1.311175,1.702625
"136","5000","CG Hispanic women","Bay.",84.521,28,1.891711,2.373833
"137","5000","CG Hispanic women","Freq.",84.521,28,1.891697,2.419693
"138","5000","CG Hispanic women","MAIHDA",84.521,28,1.383574,1.96101
"139","5000","CG White Hispanic men","Bay.",200.857,40,1.416216,1.708922
"140","5000","CG White Hispanic men","Freq.",200.857,40,1.412768,1.739566
"141","5000","CG White Hispanic men","MAIHDA",200.857,40,1.234795,1.577757
"142","5000","CG White Hispanic women","Bay.",113.531,32,1.680258,2.108481
"143","5000","CG White Hispanic women","Freq.",113.531,32,1.679723,2.145589
"144","5000","CG White Hispanic women","MAIHDA",113.531,32,1.399982,1.835094
"145","5000","CG White men","Bay.",1292.469,49,0.937786,1.129604
"146","5000","CG White men","Freq.",1292.469,49,0.937113,1.14155
"147","5000","CG White men","MAIHDA",1292.469,49,0.939581,1.124044
"148","5000","CG White women","Bay.",726.912,35,1.033419,1.229875
"149","5000","CG White women","Freq.",726.912,35,1.033681,1.244765
"150","5000","CG White women","MAIHDA",726.912,35,1.086906,1.229437
"151","5000","FG Asian men","Bay.",160.842,44,1.550638,1.845871
"152","5000","FG Asian men","Freq.",160.842,44,1.551977,1.880254
"153","5000","FG Asian men","MAIHDA",160.842,44,1.376544,1.685116
"154","5000","FG Asian women","Bay.",90.373,37,1.960802,2.309888
"155","5000","FG Asian women","Freq.",90.373,37,1.960973,2.352874
"156","5000","FG Asian women","MAIHDA",90.373,37,1.532825,1.93341
"157","5000","FG Black men","Bay.",66.085,37,2.109849,2.635991
"158","5000","FG Black men","Freq.",66.085,37,2.105748,2.68816
"159","5000","FG Black men","MAIHDA",66.085,37,1.984305,2.188914
"160","5000","FG Black women","Bay.",37.13,32,2.787173,3.422944
"161","5000","FG Black women","Freq.",37.13,32,2.790041,3.491036
"162","5000","FG Black women","MAIHDA",37.13,32,2.052771,2.483249
"163","5000","FG Hispanic men","Bay.",85.053,36,1.92246,2.370407
"164","5000","FG Hispanic men","Freq.",85.053,36,1.919193,2.413233
"165","5000","FG Hispanic men","MAIHDA",85.053,36,1.709246,1.985853
"166","5000","FG Hispanic women","Bay.",47.611,30,2.427379,3.049606
"167","5000","FG Hispanic women","Freq.",47.611,30,2.426445,3.110697
"168","5000","FG Hispanic women","MAIHDA",47.611,30,1.664861,2.2607
"169","5000","FG White Hispanic men","Bay.",113.212,40,1.697658,2.111413
"170","5000","FG White Hispanic men","Freq.",113.212,40,1.696037,2.148877
"171","5000","FG White Hispanic men","MAIHDA",113.212,40,1.349736,1.817215
"172","5000","FG White Hispanic women","Bay.",63.841,35,2.255873,2.678448
"173","5000","FG White Hispanic women","Freq.",63.841,35,2.254298,2.72954
"174","5000","FG White Hispanic women","MAIHDA",63.841,35,2.678191,2.190623
"175","5000","FG White men","Bay.",726.543,48,1.004928,1.229587
"176","5000","FG White men","Freq.",726.543,48,1.004437,1.244864
"177","5000","FG White men","MAIHDA",726.543,48,0.980619,1.208699
"178","5000","FG White women","Bay.",409.919,38,1.162394,1.389787
"179","5000","FG White women","Freq.",409.919,38,1.16222,1.40896
"180","5000","FG White women","MAIHDA",409.919,38,1.097516,1.341451
